pathway_A	pathway_B	name_A	name_B	overlap_genes	jaccard
hsa04150	hsa03440	mTOR signaling pathway	Homologous recombination	0	0
hsa04150	hsa03030	mTOR signaling pathway	DNA replication	0	0
hsa04150	R-HSA-3299685	mTOR signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04115	hsa04612	p53 signaling pathway	Antigen processing and presentation	0	0
hsa04115	hsa03050	p53 signaling pathway	Proteasome	0	0
hsa04115	hsa03030	p53 signaling pathway	DNA replication	0	0
hsa04210	hsa04512	Apoptosis	ECM-receptor interaction	0	0
hsa04210	hsa03050	Apoptosis	Proteasome	0	0
hsa04210	hsa03030	Apoptosis	DNA replication	0	0
hsa04110	hsa04512	Cell cycle	ECM-receptor interaction	0	0
hsa04110	hsa04668	Cell cycle	TNF signaling pathway	0	0
hsa04110	hsa04612	Cell cycle	Antigen processing and presentation	0	0
hsa04110	hsa04620	Cell cycle	Toll-like receptor signaling pathway	0	0
hsa04110	hsa03050	Cell cycle	Proteasome	0	0
hsa04110	hsa00190	Cell cycle	Oxidative phosphorylation	0	0
hsa04110	R-HSA-3299685	Cell cycle	Detoxification of Reactive Oxygen Species	0	0
hsa04310	hsa04512	Wnt signaling pathway	ECM-receptor interaction	0	0
hsa04310	hsa04612	Wnt signaling pathway	Antigen processing and presentation	0	0
hsa04310	hsa03050	Wnt signaling pathway	Proteasome	0	0
hsa04310	hsa00190	Wnt signaling pathway	Oxidative phosphorylation	0	0
hsa04310	hsa03440	Wnt signaling pathway	Homologous recombination	0	0
hsa04310	hsa03030	Wnt signaling pathway	DNA replication	0	0
hsa04310	R-HSA-3299685	Wnt signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04064	hsa04512	NF-kappa B signaling pathway	ECM-receptor interaction	0	0
hsa04064	hsa04216	NF-kappa B signaling pathway	Ferroptosis	0	0
hsa04064	hsa03050	NF-kappa B signaling pathway	Proteasome	0	0
hsa04064	hsa00190	NF-kappa B signaling pathway	Oxidative phosphorylation	0	0
hsa04064	hsa03030	NF-kappa B signaling pathway	DNA replication	0	0
hsa04064	R-HSA-3299685	NF-kappa B signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04510	hsa04612	Focal adhesion	Antigen processing and presentation	0	0
hsa04510	hsa04216	Focal adhesion	Ferroptosis	0	0
hsa04510	hsa03050	Focal adhesion	Proteasome	0	0
hsa04510	hsa00190	Focal adhesion	Oxidative phosphorylation	0	0
hsa04510	hsa03440	Focal adhesion	Homologous recombination	0	0
hsa04510	hsa03030	Focal adhesion	DNA replication	0	0
hsa04510	R-HSA-3299685	Focal adhesion	Detoxification of Reactive Oxygen Species	0	0
hsa04512	hsa04390	ECM-receptor interaction	Hippo signaling pathway	0	0
hsa04512	hsa04630	ECM-receptor interaction	JAK-STAT signaling pathway	0	0
hsa04512	hsa04668	ECM-receptor interaction	TNF signaling pathway	0	0
hsa04512	hsa04657	ECM-receptor interaction	IL-17 signaling pathway	0	0
hsa04512	hsa04612	ECM-receptor interaction	Antigen processing and presentation	0	0
hsa04512	hsa04216	ECM-receptor interaction	Ferroptosis	0	0
hsa04512	hsa04218	ECM-receptor interaction	Cellular senescence	0	0
hsa04512	hsa03050	ECM-receptor interaction	Proteasome	0	0
hsa04512	hsa00190	ECM-receptor interaction	Oxidative phosphorylation	0	0
hsa04512	hsa03440	ECM-receptor interaction	Homologous recombination	0	0
hsa04512	hsa03030	ECM-receptor interaction	DNA replication	0	0
hsa04512	R-HSA-3299685	ECM-receptor interaction	Detoxification of Reactive Oxygen Species	0	0
hsa04512	hsa04066	ECM-receptor interaction	HIF-1 signaling pathway	0	0
hsa04512	hsa04140	ECM-receptor interaction	Autophagy - animal	0	0
R-HSA-1474244	hsa04216	Extracellular matrix organization	Ferroptosis	0	0
R-HSA-1474244	hsa03050	Extracellular matrix organization	Proteasome	0	0
R-HSA-1474244	hsa00190	Extracellular matrix organization	Oxidative phosphorylation	0	0
R-HSA-1474244	hsa03440	Extracellular matrix organization	Homologous recombination	0	0
R-HSA-1474244	hsa03030	Extracellular matrix organization	DNA replication	0	0
hsa04350	hsa00190	TGF-beta signaling pathway	Oxidative phosphorylation	0	0
hsa04350	hsa03440	TGF-beta signaling pathway	Homologous recombination	0	0
hsa04350	hsa03030	TGF-beta signaling pathway	DNA replication	0	0
hsa04350	R-HSA-3299685	TGF-beta signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04390	hsa04612	Hippo signaling pathway	Antigen processing and presentation	0	0
hsa04390	hsa04620	Hippo signaling pathway	Toll-like receptor signaling pathway	0	0
hsa04390	hsa04216	Hippo signaling pathway	Ferroptosis	0	0
hsa04390	hsa03050	Hippo signaling pathway	Proteasome	0	0
hsa04390	hsa00190	Hippo signaling pathway	Oxidative phosphorylation	0	0
hsa04390	hsa03440	Hippo signaling pathway	Homologous recombination	0	0
hsa04390	hsa03030	Hippo signaling pathway	DNA replication	0	0
hsa04390	R-HSA-3299685	Hippo signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04630	hsa04216	JAK-STAT signaling pathway	Ferroptosis	0	0
hsa04630	hsa00190	JAK-STAT signaling pathway	Oxidative phosphorylation	0	0
hsa04630	hsa03440	JAK-STAT signaling pathway	Homologous recombination	0	0
hsa04630	hsa03030	JAK-STAT signaling pathway	DNA replication	0	0
hsa04630	R-HSA-3299685	JAK-STAT signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04668	hsa04216	TNF signaling pathway	Ferroptosis	0	0
hsa04668	hsa03050	TNF signaling pathway	Proteasome	0	0
hsa04668	hsa00190	TNF signaling pathway	Oxidative phosphorylation	0	0
hsa04668	hsa03440	TNF signaling pathway	Homologous recombination	0	0
hsa04668	hsa03030	TNF signaling pathway	DNA replication	0	0
hsa04668	R-HSA-3299685	TNF signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04657	hsa04216	IL-17 signaling pathway	Ferroptosis	0	0
hsa04657	hsa00190	IL-17 signaling pathway	Oxidative phosphorylation	0	0
hsa04657	hsa03440	IL-17 signaling pathway	Homologous recombination	0	0
hsa04657	hsa03030	IL-17 signaling pathway	DNA replication	0	0
hsa04657	R-HSA-3299685	IL-17 signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04612	hsa04216	Antigen processing and presentation	Ferroptosis	0	0
hsa04612	hsa00190	Antigen processing and presentation	Oxidative phosphorylation	0	0
hsa04612	hsa03440	Antigen processing and presentation	Homologous recombination	0	0
hsa04612	hsa03030	Antigen processing and presentation	DNA replication	0	0
hsa04612	R-HSA-3299685	Antigen processing and presentation	Detoxification of Reactive Oxygen Species	0	0
R-HSA-913531	hsa00190	Interferon Signaling	Oxidative phosphorylation	0	0
R-HSA-913531	hsa03440	Interferon Signaling	Homologous recombination	0	0
R-HSA-913531	hsa03030	Interferon Signaling	DNA replication	0	0
R-HSA-913531	R-HSA-3299685	Interferon Signaling	Detoxification of Reactive Oxygen Species	0	0
hsa04620	hsa04216	Toll-like receptor signaling pathway	Ferroptosis	0	0
hsa04620	hsa03050	Toll-like receptor signaling pathway	Proteasome	0	0
hsa04620	hsa00190	Toll-like receptor signaling pathway	Oxidative phosphorylation	0	0
hsa04620	hsa03440	Toll-like receptor signaling pathway	Homologous recombination	0	0
hsa04620	hsa03030	Toll-like receptor signaling pathway	DNA replication	0	0
hsa04620	R-HSA-3299685	Toll-like receptor signaling pathway	Detoxification of Reactive Oxygen Species	0	0
hsa04216	hsa03050	Ferroptosis	Proteasome	0	0
hsa04216	hsa00190	Ferroptosis	Oxidative phosphorylation	0	0
hsa04216	hsa03440	Ferroptosis	Homologous recombination	0	0
hsa04216	hsa03030	Ferroptosis	DNA replication	0	0
hsa04218	hsa03050	Cellular senescence	Proteasome	0	0
hsa04218	hsa00190	Cellular senescence	Oxidative phosphorylation	0	0
hsa04218	hsa03030	Cellular senescence	DNA replication	0	0
hsa04218	R-HSA-3299685	Cellular senescence	Detoxification of Reactive Oxygen Species	0	0
hsa03050	hsa00190	Proteasome	Oxidative phosphorylation	0	0
hsa03050	hsa03030	Proteasome	DNA replication	0	0
hsa03050	R-HSA-3299685	Proteasome	Detoxification of Reactive Oxygen Species	0	0
hsa03050	hsa04140	Proteasome	Autophagy - animal	0	0
hsa00190	hsa03440	Oxidative phosphorylation	Homologous recombination	0	0
hsa00190	hsa03030	Oxidative phosphorylation	DNA replication	0	0
hsa00190	hsa04066	Oxidative phosphorylation	HIF-1 signaling pathway	0	0
hsa00190	hsa04140	Oxidative phosphorylation	Autophagy - animal	0	0
hsa03440	R-HSA-3299685	Homologous recombination	Detoxification of Reactive Oxygen Species	0	0
hsa03440	hsa04066	Homologous recombination	HIF-1 signaling pathway	0	0
hsa03440	hsa04140	Homologous recombination	Autophagy - animal	0	0
hsa03030	R-HSA-3299685	DNA replication	Detoxification of Reactive Oxygen Species	0	0
hsa03030	hsa04066	DNA replication	HIF-1 signaling pathway	0	0
hsa03030	hsa04140	DNA replication	Autophagy - animal	0	0
R-HSA-3299685	hsa04140	Detoxification of Reactive Oxygen Species	Autophagy - animal	0	0
